_id/$oid,ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,SortID
5f0578fddc89b71bdcd06024,770a1b32-a50f-4791-a9b4-e5b5fe9aba3b,174e6019-2728-4e5c-ad21-f904b0c58736,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 1 (Khu A),Xưởng May,Chuyền 13,PPG,,PPJ,600000,FC_632000,632005,6321405,3700917
5f0578fddc89b71bdcd06025,b9b7f9d1-2538-43c4-ac9a-e5be309c618e,f2f3855b-3409-40b2-8d59-18db6799b5b8,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Xưởng Chuẩn Bị Sản Xuất,Chuyền may,Chuyền 3,,PPG,,PPJ,FC_550000,541100,541103,,3699217
5f0578fddc89b71bdcd06026,5397fc81-2207-444d-b27e-e60cde5c367c,6217abd3-eef0-45b6-a210-35faf47eea18,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN ĐẦU TƯ THÀNH CHÂU,,NV TDĐH,,,PPG,,TIC,,643002,,,3699446
5f0578fddc89b71bdcd06027,7857c2ed-72c6-4094-b575-e637d9318bc9,aff95f3d-89c2-4aae-b611-755fb4728173,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Công ty Cổ phần Quốc tế Phong Phú - Tuyên Quang,Bộ phận Kỹ thuật,,,PPG,,PPJ,FC_500000,507000,,,3699947
5f0578fddc89b71bdcd06028,31db1d71-88f6-4e22-b5ba-e6666afcff95,d87e0f24-12e8-4b23-9de9-b0b1767c12d8,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ PHONG PHÚ - PHÚ YÊN,Nhà máy Wash Phú Yên,Bộ phận Hành Chánh Nhân sự,,,PPG,,PY,FC_P04,598000,,,3700378
5f0578fddc89b71bdcd06029,e10d4aa8-22e4-44d6-9e36-d912642dcf6a,80641583-00b0-4831-9d1c-495c98b3b609,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Nhà máy May Xuất khẩu Phong Phú Đà Nẵng B,Chuyền may,Chuyền 09,PPG,,PPJ,340000,FC_470000,471000,471009,3699598
5f0578fddc89b71bdcd0602a,aa35f868-b494-48df-97c6-d9140be70874,6e907c0c-1fa1-4c56-b0e3-fa48ee673ecf,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may xuất khẩu Phong Phú Long An - Công ty CPQT Phong Phú,Bộ phận Thêu,,,PPG,,PPJ,290000,291100,,,3700929
5f0578fddc89b71bdcd0602b,6ee74b53-68af-4900-b5de-d94966167633,01d6b81f-8e7c-428a-938f-8245aebb4024,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN DỆT MAY PPJ HUẾ,Nhà máy Dệt thoi,Bộ phận QC,QC May,,PPG,,FC_HPH,840000,807000,807040,,3700038
5f0578fddc89b71bdcd0602c,43190112-8d8d-4931-8d8a-d98808e5d160,5cf5bb8e-b52f-45d5-8cca-8ebc4a15bc32,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN DỆT MAY PPJ HUẾ,Nhà máy Dệt thoi,Chuyền may,Chuyền 06,,PPG,,FC_HPH,840000,808000,808060,,3700145
5f0578fddc89b71bdcd0602d,ea967514-0a51-403a-b700-d9b4c5f05cbc,811c8d0f-9d10-4800-b810-250978b5619f,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Công ty Cổ Phần Quốc Tế Phong Phú - Thành phố Hà Nội,Phòng Mua hàng,,,PPG,,PPJ,180001,180006,,,3699311
5f0578fddc89b71bdcd0602e,3e265043-5b5c-46f4-96ae-d9c91c21cf11,e4118bfb-9252-4b49-93e1-a7a24afb1c11,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ PHONG PHÚ - PHÚ YÊN,Nhà máy May Xuất khẩu Phong Phú Phú Yên 3,Chuyền May,Chuyền 2,,PPG,,PY,FC_P03,P04700,P04730,,3700314
